text,intent
I want to check my withdrawal status,withdrawal_status
My withdrawal is pending,withdrawal_status
Where is my withdrawal money,withdrawal_status
I want to see my investment portfolio,investment_query
My investments are not showing,investment_query
Where is my commission,commission_query
Commission not received,commission_query
How to open new account,account_help
Account opening process,account_help
im unable to open my account,account_help
my account details are not showing,account_help
how to update my profile,account_help
account details are not visible,account_help
I want to change password,account_help
password verification error,account_help
when can I get my commission,commission_query
commission shwoing wrong,commission_query
last month commission not revieved wrongly,commission_query
where can I get commission details,commission_query
commission not yet credited,commission_query
brokerage amount not received,commission_query
what is my brokerage percentage,commission_query
please increase my brokerage,commission_query
withdrawal amount varies,withdrawal_status
withdraw details not showing,withdrawal_status
withdraw taking how many days?,withdrawal_status
can I get withdraw can be in my new account,account_help
I want to change my bank account,account_help
very urgent money please make it fast,withdrawal_status
why so late my withdraw?,withdrawal_status
how to check status of my withdrawal,withdrawal_status
please update the status of withdrawal,withdrawal_status
my commission money not yet credited in my account,withdrawal_status
what is the TAT of credit money?,withdrawal_status
where can I check my portfolio details,investment_query
amount invested but not updated yet,investment_query
what is the rate of interest for my investment,investment_query
if I invest 10000 what is the returns for me,investment_query
how can I add some more money to the investment money,investment_query
can I change the money from one portfolio to another?,investment_query
how to change money from portfolio to another?,investment_query
invested but not credited in portfolio,investment_query
portfolio details are updated but amount not updated,investment_query
two investments pending,investment_query
portfolio dates not updating,investment_query
what is the interest of new plans,investment_query
show me latest investment details,investment_query
investments not getting returns,investment_query
what happened my investment,investment_query
investment,investment_query
